channel_id,channel_title,custom_url,description,country,published_at,subscriber_count,video_count,view_count,keywords,channel_url
UCFmofUYwZd1Ibf_O3PF71jg,FOX 32 Chicago,@fox32chicago,"FOX 32 is Chicago's source for news, weather, sports and entertainment. Our dedicated news team covers stories across Chicagoland, from the city to the suburbs.

Subscribe to FOX 32 Chicago on YouTube for the latest in breaking news: https://www.youtube.com/fox32chicago

WFLD-TV is the owned-and-operated Fox station in Chicago, Illinois. It is co-owned with sister WPWR.

Watch FOX 32 Live Streaming Newscasts:

Monday - Friday:
4:30am - 10am, 12pm - 1pm, 4pm - 5pm, 5pm -6pm, 9pm - 10pm

Saturday:",US,2010-07-22T19:51:26Z,430000,29007,401939660,"""Chicago news"" ""Chicago suburbs"" WFLD ""FOX 32 Chicago"" ""FOX 32 News"" ""Chicago crime"" ""Chicago politics"" ""Illinois politics"" ""Coronavirus in Chicago"" Chicago ""Chicago Breaking News"" ""Cook County"" ""Cook County news"" ""Will County"" ""DuPage County"" ""McHenry County"" ""Lake County"" Illinois ""Kane County"" ""northwest Indiana news"" ""FOX Chicago"" ""FOX 32"" ""Good Day Chicago"" ""FOX 32 Sports"" ""Jakes Takes"" ""downtown Chicago"" ""FOX 32 Live"" ""Chicago entertainment"" ""Chicago sports"" ""Chicago weather"" Chicagoland",https://www.youtube.com/channel/UCFmofUYwZd1Ibf_O3PF71jg
UC8p1vwvWtl6T73JiExfWs1g,CBS News,@cbsnews,"CBS News is a trusted source for the latest in politics, U.S. and world news. The network is home to award-winning broadcasts CBS Mornings, CBS Evening News, 60 Minutes, CBS Sunday Morning, 48 Hours and Face the Nation.

CBS News 24/7 is the premier anchored streaming news service from CBS News and Stations that is available free to everyone with access to the internet and is the destination for breaking news, live events, original reporting and storytelling, and programs from CBS News and Stati",US,2006-09-27T13:38:41Z,6790000,143590,6067236920,"""cbs news"" ""live news"" cbsn politics ""breaking news"" CBSN news elections ""world news"" ""live stream"" stream streaming ""u.s. news""",https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g
UCYuJBgmXge7nA7CjP4ZeX6w,CA INTER with KD Classes,@kuldeeptiwari1710,"CA INTER with KD CLASSES is n educational channel to promote the education free of cost in the fields of Commerce relating to students from background of B.Com , B.Com ( H) and Chartered Accountancy Profession.

Our sole aim is to provide and motivate children of every background who will get free video lectures .

For any business enquiry / queries mail me at - kdkuldeep767@gmail.com",,2022-08-15T08:03:33.128877Z,284,175,136674,,https://www.youtube.com/channel/UCYuJBgmXge7nA7CjP4ZeX6w
UCsv9uKTMVLSDlkZrdzqYWgQ,Tamil Selvan - தமிழ் செல்வன்,@tamilselvan,"Tamil Selvan (M.Tech - IT) 💻, Founder of TamilTech ~ MrTamilTech  🌍 One of  Top Technology channel (UNBIASED⚖️) in INDIA which Focuses on Quality 📱Tech Videos that make Sense.

In Tamil Selvan Channel,  i  Share My Views on Vlogs, Auto, Business, Personal finance and much more what you ask For. We have Dedicated series for all. 

*Sponsors can contact me on below e-mail *** Business@TamilTechOfficial.com ***

We don't provide any Tech Support via email.
Official website: http://tamiltechofficial",IN,2016-02-13T18:47:01Z,736000,549,151891778,"""Tamil selvan"" ""Tamil Tech"" ""Tamil selvan Vlog"" ""Tamil VLog"" MrTamilTech MoneySeries",https://www.youtube.com/channel/UCsv9uKTMVLSDlkZrdzqYWgQ
UCVOTBwF0vnSxMRIbfSE_K_g,Labour Law Advisor,@labourlawadvisor,"We make India Jagruk 
Personal Finance | Taxation | Employment Laws
New video every day (Sundays off) 

Get Support or report a scam - support(at)lla(dot)in
Collab Requests - collab(at)lla(dot)in
Say Hello - rishabh(at)witbox(dot)in
Join team LLA - Apply at jobs.lla.in
",IN,2017-08-12T09:53:22Z,5370000,1894,1931285912,"""Jagruk Janta"" LLA ""Labour Law Advisor"" ""Money Minded Mandeep"" ""Anadi Andy"" ""Jagruk RJ""",https://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g
UCpYJfjTZosH1-W0ZDnNclUg,sciBRIGHT,@scibright,"Science is awesome and understanding how things on earth and outside of earth work is a great knowledge to have. Join us to get great scientific videos which are easy to understand and will make you brighter!

Be sure to subscribe to get the our latest scientific videos!",NZ,2013-07-05T22:41:23Z,22300,80,4698993,"sciBRIGHT science ""science videos"" education physics chemistry ""space videos"" gravity energy facts biology universe politics election ""political science""",https://www.youtube.com/channel/UCpYJfjTZosH1-W0ZDnNclUg
UCakE9NFBpuVvMgkzIF2dABw,Bhanzu,@bhanzu,"Math is Fun!

Bhanzu, founded by Neelakantha Bhanu - The World’s Fastest Human Calculator, in 2017 works with students and employees across different educational and professional institutions by enabling their cognitive ability and numeracy development. We believe that improvement in arithmetic skills translates into the development of an individual cognitively. ",IN,2020-06-01T09:44:22.152809Z,347000,650,24720394,"""math online class"" ""maths games for kids"" ""mathematics games"" ""online maths"" ""learn math online"" ""speed maths"" ""number games online"" ""math learning games"" ""online math programs"" ""mathematical thinking and learning"" ""best math games for kids"" ""online maths lessons"" ""kids mathematics"" ""maths websites for kids"" ""math classes for kids"" ""online math classes for kids"" ""best math websites for kids"" ""mathematics website"" ""learn math online free"" ""online maths for kids"" ""children math games"" mathonline",https://www.youtube.com/channel/UCakE9NFBpuVvMgkzIF2dABw
UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,@johnnyharris,"Independent journalist making videos that help you better understand the world
Support my work here: https://www.patreon.com/johnnyharris
Inquiries: newpress@unitedtalent.com

",US,2011-06-08T02:06:25Z,7080000,488,1082023447,"Vox Travel Documentary Vlog ""Johnny Harris Vox"" ""Vox Borders"" ""Johnny Harris Borders"" ""johnny harris"" news maps politics news emmys johnny harris borders",https://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw
UCXJryYh6xcW5iEeJGzK191A,CBS Miami,@cbsmiami,"Welcome to the official YouTube channel for CBS Miami, South Florida's home for Breaking News, NEXT Weather, and Community Journalism. Let's Talk! We Are Here For You. ➡️ Message Us With News Tips.

Streaming 24/7 at CBSMiami.com
Like us on Facebook: https://www.facebook.com/CBSMiami
Follow us on Twitter:  https://twitter.com/CBSMiami
",US,2014-08-06T16:13:25Z,669000,103048,660913608,"""Miami News"" ""Breaking News""",https://www.youtube.com/channel/UCXJryYh6xcW5iEeJGzK191A
UCKZozRVHRYsYHGEyNKuhhdA,Think School,@thinkschool,"The Indian education system is messed up and everyone knows about it. But very few are doing something to fix it.Think School is an education start-up  and we want to put a dent in the Indian education system. And we do that by providing world-class business education at less than the cost of denim jeans.
Our mission at Think School is to teach you all about business, geopolitics and economics which are subjects that schools and colleges typically neglect. We are here to provide an education tha",IN,2020-02-26T18:38:41.498709Z,4750000,782,526521685,"thinkschool thethinkschool ""think school"" ""the think school"" communication education selfhelp entrepreneurship publicspeaking resume",https://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA
UCNSfJB-VQeHpv5ThtV1VtBA,Island News,@kitv,"Visit www.KITV.com, Hawaii's source for breaking news, weather and sports updates with local coverage from across the state.

Follow us: 
Facebook: https://www.facebook.com/KITV4/ 
Instagram: https://www.instagram.com/kitv4/
Twitter: https://twitter.com/KITV4 

",US,2007-05-03T18:34:15Z,140000,46751,151486355,"Hawaii KITV news ""island news"" ""island life"" honolulu maui ""big island"" oahu kauai lanai molokai",https://www.youtube.com/channel/UCNSfJB-VQeHpv5ThtV1VtBA
UCVoq_9iUceZd9x-fvmW5qdw,Qurious Mango,@quriousmango,"There is so much to know, so much to learn. 
But often times the knowledge is not presented in interesting ways. 

I want to change that. The idea and the effort is to combine knowledge with engaging story telling and supporting visuals.
Join me if you like what I do.  

Thanks for your time. Have a great day ahead.
Qurious Mango.

Reach me @randomfactsgeek@gmail.com",IN,2021-12-28T10:09:53.066865Z,317000,269,259722439,,https://www.youtube.com/channel/UCVoq_9iUceZd9x-fvmW5qdw
UCdprLq1BhzKAuMPshvr8AXA,First Southern National Bank,@firstsouthernnationalbank,"We believe in providing exceptional customer service and making fast, local decisions. We'd love to be your bank! 

Member FDIC. Equal Housing Lender",US,2011-06-17T19:32:09Z,390,112,156813,"FSNB ""First Southern National Bank"" ""First Southern Bancorp"" fsnb.net",https://www.youtube.com/channel/UCdprLq1BhzKAuMPshvr8AXA
UCuyRsHZILrU7ZDIAbGASHdA,ThePrint,@theprintindia,"ThePrint.in—headquartered in New Delhi—is a news, analysis, opinion, and knowledge venture, launched in August 2017 by Editor Shekhar Gupta. It is sharply focused on tracking politics, policy, governance, and social and cultural change.

In these seven years, ThePrint has built an impressive network across India and has stayed true to its mission of high-quality, fair on-ground, and questioning journalism. Its leadership team includes some of India’s most experienced and respected journalists wi",IN,2015-12-21T10:25:19Z,2930000,37033,1033070841,"theprint.in ""india news"" ""breaking news"" ""shekhar gupta"" ThePrint ""ThePrint news"" ""ThePrint videos"" ""India ki news"" ""ThePrint Hindi"" Afghanistan Pakistan Trump India Amrullah Taliban",https://www.youtube.com/channel/UCuyRsHZILrU7ZDIAbGASHdA
UCNz9FA4OYPfEU-6t6jsHOIA,Science Explained,@scienceexplainedofficial,,,2021-09-10T17:52:56.505235Z,1000000,366,1218732297,,https://www.youtube.com/channel/UCNz9FA4OYPfEU-6t6jsHOIA
UC_TDXwqG9HduRO2hqZitb8w,ET Transport,@northamerican-trucking-news,"Helping truckers with weekly uploads of informative and entertaining videos, everything trucking-related!",,2017-10-06T16:22:28Z,240000,1298,83207415,"Trucking Transportation Logistics Flatbed Van Reefer Haz-Mat CTPAT CSA ""Truck Driver"" ""trucking videos"" ""flatbed trucking"" ""owner operator trucking"" ""lease operator trucking"" ""company driver trucking"" ""canadian trucking company"" ""trucking information"" trucker ""canadian trucker"" ""et transport"" ""transportation company"" truck",https://www.youtube.com/channel/UC_TDXwqG9HduRO2hqZitb8w
UCH4pNKkgp6SKjb7-RfcrpLg,Afford Anything Podcast,@affordanything,"You can afford anything, but not everything. We make daily decisions about how to spend money, time, energy, focus and attention – and ultimately, our life. Every decision is a trade-off against another choice. But how deeply do we contemplate these choices? Are we settling for the default mode? Or are we ruthlessly optimizing around a deliberate life? Host Paula Pant interviews a diverse array of entrepreneurs, early retirees, millionaires, investors, artists, adventurers, scientists, psycholog",US,2017-01-10T05:21:33Z,63700,1225,5320592,"""afford anything"" ""financial independence"" ""financial freedom"" ""early retirement"" ""real estate investing""",https://www.youtube.com/channel/UCH4pNKkgp6SKjb7-RfcrpLg
UC_vt34wimdCzdkrzVejwX9g,Geo News,@geonews,"
#geonews #geonewsheadlines #geonewslive #breakingnews #pakistannews   
Geo News is Pakistan's Number. 1 news channel, catering to a diverse audience with the latest updates on local and global political developments, sports, business, and entertainment. Known for its dedicated news services and top-notch coverage of breaking events, Geo News has established a markedly distinct position in the electronic media landscape. The ethos of transparency and accountability lies at the heart of Geo's pri",PK,2007-01-10T19:16:49Z,20100000,318699,11396942159,"""Geo News"" ""Geo Live"" ""Geo Headlines"" ""today headlines Geo News"" ""Geo news headlines today"" ""Latest News"" ""Pakistan News Live"" ""Latest Pakistan News"" ""imran khan news"" ""PTI jalsa"" ""Constitutional Amendments"" championstrophy2025 ""1st ramadan 2025"" ""ramadan 2025 pakistan"" ""ramadan in pakistan 2025"" ""icc champions trophy cricket"" ""pakistan train hijack"" ""pakistan train hijack news"" ""pakistan train hijack latest"" ""pakistan train hijack live news"" ""pakistan train hijack balochistan""",https://www.youtube.com/channel/UC_vt34wimdCzdkrzVejwX9g
UCOrj9ffQPq0heFZoUYFTz4w,CA Rohan Gupta,@iamcarohangupta,"Hey, I'm Rohan!
A Chartered Accountant by profession, who likes to tell stories and make documentary-style videos on Tax, Finance and Economics!

Follow me on :-
Insta - carohanguptaofficial
",IN,2020-04-23T16:00:25.717835Z,397000,622,455163548,,https://www.youtube.com/channel/UCOrj9ffQPq0heFZoUYFTz4w
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,@msnbc,"The official MSNBC YouTube Channel. MSNBC is the premier destination for in-depth analysis of the news, insightful political commentary and diverse perspectives. 
",,2011-12-01T19:16:09Z,9240000,104182,17971212385,"msnbc politics ""rachel maddow"" ""lawrence o'donnell"" News politics ""Brian Williams"" ""Chris Hayes"" ""Morning Joe"" ""Stephanie Ruhle"" ""msnbc news"" ""live msnbc"" ""maddow msnbc"" maddow ""msnbc stream"" ""live msnbc stream"" ""msnbc joe"" ""msnbc rachel"" ""msnbc rachel maddow"" ""rachel maddow"" ""msnbc today"" ""msnbc morning joe"" ""lawrence msnbc"" ""am joy"" ""am joy msnbc"" ""msnbc ari"" ""ari melber"" ""msnbc ari melber"" ""rachel maddow live"" ""msnbc live rachel maddow"" ""msnbc chris hayes"" ""chris hayes"" ""breaking news""",https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg
UCvqtzdcURSqNjY9RQEK4XmQ,Glenn Beck,@glennbeck,,,2006-03-05T01:35:18Z,1590000,5577,536450732,"glenn beck glen glennbeck glenbeck blazetv ""glenn beck"" ""Glenn Beck Radio"" ""Glenn Beck Channel"" ""Glenn Beck Podcast"" ""Blaze TV"" ""Glenn Beck Blaze TV"" ""Glenn Beck Chalkboard"" ""Glenn Beck clips"" ""Glenn Beck Interviews"" ""Best of Glenn Beck"" ""Glen Beck"" Official TheBlaze ""glenn beck youtube""",https://www.youtube.com/channel/UCvqtzdcURSqNjY9RQEK4XmQ
UCLaKdTwo3Dn-RHXxgRW0VRA,The Local Investor,@eslam_labib,"By night, I am just your local neighborhood trader......
By day, I wear a dark suit ... and walk the realms of Investment Bankers.  After having escaped the slave-trap of the Big 4 firms, I moved on to the Buy Side... managing Private Equity and Proprietary Funds.
The goal of this channel is to bridge the gap between how the ""local neighborhood investors"" handle money... and how professional Money Managers do.


",US,2011-09-13T16:15:15Z,1820,53,460074,"Investments Invest Value Trading Markets Finance Financial Stock Forex Valuation Strategy Cryptocurrency Leverage Best Rich Winning Exchange Investing Buffet Lynch Accounting News Analysis Gold learn charts ""technical analysis"" bullish bearish analysis patterns prediction candle platform mt4 ctrader thinkorswim trend support resistance",https://www.youtube.com/channel/UCLaKdTwo3Dn-RHXxgRW0VRA
UCSTR51Y53Mb_KAJMXmyc_kQ,True Potential,@truepotentialllp,"Our mission is to help people across the UK do more with their money by providing expert financial advice, exclusive investments, dedicated support and award-winning technology. 

Subscribe to our channel for daily investment updates, our weekly personal finance podcast and regular videos aimed at helping you do more with your money.
",GB,2011-12-06T12:45:27Z,14000,1745,2609456,investing investments personalfinance money pensions isas budget,https://www.youtube.com/channel/UCSTR51Y53Mb_KAJMXmyc_kQ
UCczO8ysU60hjZwetVvEE2iA,ECONOMICS SHIKSHA,@economicsshiksha8,"Hey, this is Bharti and welcome to my Youtube Channel ""Economics shiksha"". 

 I Consider my self a learner. I want to make the subject economics easy for the learners through my experiences , knowledge and practical examples.    
  My Fav. Quote is
""Productivity is never an accident. It is always the result of a commitment to excellence, intelligent planning, and focused efforts"". --paul j. Meyer--





You can search by using following hashtags
#economics #economics shiksha #ecolife  #E.A.F.M.",,2021-03-29T07:18:38.786856Z,12400,198,3649079,,https://www.youtube.com/channel/UCczO8ysU60hjZwetVvEE2iA
UC26ETMtya2wuk6IdzvaQzqg,Looseone,@looseone-gw8df,,,2023-08-16T07:52:59.993257Z,114,14,102240,,https://www.youtube.com/channel/UC26ETMtya2wuk6IdzvaQzqg
UCPgYp38BfdWzklkDYLxRIjQ,Forever Finance,@foreverfinancefacts,"The most interesting info about finance, economics, and money.",,2023-10-31T18:26:43.544778Z,77,10,34966,,https://www.youtube.com/channel/UCPgYp38BfdWzklkDYLxRIjQ
UC1JAwKeDUjN2orv5t7LWODQ,KARE 11,@kare11,"Welcome to the official YouTube channel of KARE 11 News.  Subscribe to our channel for compelling and dramatic storytelling, award-winning investigations, breaking news and information you can use. 

kare11.com:  http://www.kare11.com/
Facebook:  https://www.facebook.com/KARE11/
Twitter:  https://twitter.com/kare11
Instagram:  https://www.instagram.com/kare11/",US,2006-11-16T22:04:42Z,395000,58055,347086857,"""kare 11"" kare11 ""minneapolis news"" ""minnesota news"" minneapolis ""st. paul"" ""twin cities news"" ""nbc minneapolis"" ""TEGNA minneapolis""",https://www.youtube.com/channel/UC1JAwKeDUjN2orv5t7LWODQ
UC29_uxOrUQR-vH2NhKyApSQ,Bes D. Marx,@besdmarx,History from the View of the Oppressed and Exploited,,2022-02-14T11:34:55.016276Z,72300,44,3243114,,https://www.youtube.com/channel/UC29_uxOrUQR-vH2NhKyApSQ
UChftTVI0QJmyXkajQYt2tiQ,moneycontrol,@moneycontrol,"moneycontrol.com is India's No 1 Financial and Business portal. With in-depth market coverage, analysis, expert opinions, global news, international trade, international politics, and a gamut of financial tools, moneycontrol.com has been the premier destination for consumers, market watchers, and political news. A part of Network18, moneycontrol.com is the most influential destination for stock market news and advice, business news, and news about the Indian and global economy.
Subscribe: https:",IN,2006-10-08T18:34:43Z,2060000,86694,675223700,"moneycontrol ""stocks moneycontrol"" ""business news"" ""money control"" ""moneycontrol live"" ""stock news today"" ""share market today"" ""world news"" ""english news"" ""us news"" ""war news"" ""top world news"" ""world news today"" ""world update today"" ""anti trump protest"" trump ""world news"" ""breaking news"" ""us news"" ""international news"" ""world news"" ""donald trump"" ""vladimir putin"" trump ""english news"" ""breaking news"" ""us news"" ""world news"" ""trump tariffs"" ""trump live"" ""trump live news today"" ""us news""",https://www.youtube.com/channel/UChftTVI0QJmyXkajQYt2tiQ
UCmapkf4A5883lT90j86WXFg,marketfeed,@marketfeedbyshariquesamsudheen,"Welcome to marketfeed.

We are building a community of informed investors and financially empowered individuals. Our mission is to simplify the world of finance, making it engaging and practical for everyone looking to achieve financial freedom.

From the house of fundfolio, by Sharique Samsudheen.
",IN,2020-09-19T06:52:29.212496Z,538000,514,32577999,"""stock market"" ""share market"" ""share bazaar"" ""sharique samsudheen"" nifty sensex invest finance money rich ""stock bazaar"" ""personal finance"" investment ""learn stock market"" ""stock market analysis"" ""stock market show"" ""the stock market show"" TSMS ""sharique english"" ""stock market a to z"" ""learn stock market india"" ""learn stock market"" ""market feed"" marketfeed sharique ""pro lounge"" ""stock market for beginners"" ""stock market learning"" ""ajay ajith""",https://www.youtube.com/channel/UCmapkf4A5883lT90j86WXFg
UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,@7news,"7NEWS is Australia's most-watched news service, delivering breaking news, deep analysis and stories that matter to millions across metro and regional markets every day.

With award-winning journalists across every state and territory, 7NEWS is committed to delivering timely, credible journalism on every platform, around the clock.
",US,2006-07-21T05:34:46Z,2030000,28615,1094266257,"""7news australia"" ""7 news"" 7news ""7 news live"" ""seven news australia"" ""channel 7"" ""latest news australia"" ""latest news today"" ""news australia"" ""news live"" ""australian news"" ""breaking news"" ""seven news""",https://www.youtube.com/channel/UC5T7D-Dh1eDGtsAFCuwv_Sw
UCpBeaEkpytvBHzHzcck0VyQ,European Parliamentary Research Service,@europarlresearchservice,"The European Parliamentary Research Service (EPRS) provides comprehensive research and analytical support to the Members of the European Parliament, its parliamentary committees and the European Parliament as a whole. The EPRS philosophy is to provide independent, objective and authoritative information. We aim to provide a comprehensive research and analysis capacity of the kind to be found in many parliamentary democracies worldwide.

The content of all videos contained in this channel is the ",BE,2015-06-26T09:18:49Z,14000,1205,1391706,"European Parliament EPRS union research analysis democracy ""european union"" ""European Parliament"" ""European Parliament Research Service"" ""European Parliamentary Research Service""",https://www.youtube.com/channel/UCpBeaEkpytvBHzHzcck0VyQ
UCuDv5p8E-evaRSh542hDV5g,Robert Reich,@rbreich,"Inequality Media Civic Action is a nonprofit co-founded by former Secretary of Labor Robert Reich and Director Jacob Kornbluth following the success of their documentary film, Inequality For All. Inequality Media Civic Action uses the power of storytelling to inform and engage the public about the realities and impacts of inequality and imbalance of power in America. 

We believe in the power of storytelling to inform and engage. And we believe in the power of an informed and engaged public to b",US,2015-06-16T16:50:49Z,1360000,1318,183983543,"""robert reich"" ""inequality media"" ""economic inequality"" history oligarchy ""trickle down economics"" privatization ""citizens united"" ""corporate welfare"" america government taxes education america capitalism socialism ""bernie sanders"" west western economics",https://www.youtube.com/channel/UCuDv5p8E-evaRSh542hDV5g
